channelId,videoId,authorDisplayName,authorChannelId,authorChannelUrl,authorProfileImageUrl,textDisplay,textOriginal,likeCount,viewerRating,canRate,publishedAt,updatedAt
UCj0O6W8yDuLg3iraAXKgCrQ,3ekLEtjfDG4,@DeivisonCarlospeixoto,UCrbx5IBzjkkgIYPkeKQP5Ow,http://www.youtube.com/@DeivisonCarlospeixoto,https://yt3.ggpht.com/W14lvd5UsjbOPN3dbUH5Q4YGr6TJ42JHpjqqi5isyXFBiT92O9xsHA4RjDlJPEHhZobeZSiG=s48-c-k-c0x00ffffff-no-rj,"Vc sabia sobre desenhos antigos muito bom,toda criança assistiu esses desenhos nostalgia pura kkk.","Vc sabia sobre desenhos antigos muito bom,toda criança assistiu esses desenhos nostalgia pura kkk.",0,none,True,2024-11-19T21:57:06Z,2024-11-19T21:57:06Z
UCj0O6W8yDuLg3iraAXKgCrQ,3ekLEtjfDG4,@agaleraladositio,UCLxp2MhTnGYlE95h72r3ZUQ,http://www.youtube.com/@agaleraladositio,https://yt3.ggpht.com/4lGose32wOUZCczCL_7q_zVIlZRMWOGVIHWeKm3i3gZDc8F93xUVn2CA69O_l2gK6iN932SnpA=s48-c-k-c0x00ffffff-no-rj,Alguém em 2038 também,Alguém em 2038 também,61,none,True,2024-11-19T21:51:34Z,2024-11-19T21:51:34Z
UCj0O6W8yDuLg3iraAXKgCrQ,3ekLEtjfDG4,@Pedrozinho-k7y,UCPjtigOIasqIk-yXrm-DwmQ,http://www.youtube.com/@Pedrozinho-k7y,https://yt3.ggpht.com/ytc/AIdro_mudJBOukNXf6EwU9s9qkSmrQeXVMInDb6nJZWhI4Ee75BBlCMMDWOLtD2fTJpyUniYrg=s48-c-k-c0x00ffffff-no-rj,se vcs fosem meus professores e eu faltasse aula entraria em depressão,se vcs fosem meus professores e eu faltasse aula entraria em depressão,0,none,True,2024-11-19T21:50:47Z,2024-11-19T21:50:47Z
UCj0O6W8yDuLg3iraAXKgCrQ,3ekLEtjfDG4,@rack6831,UCztnzuAShE6RdadhndLkpcQ,http://www.youtube.com/@rack6831,https://yt3.ggpht.com/EAgUTIEarmEKFBv33p8gnTFlYRARKGN8aMeyexqKCkTx3j0WqNSrf11N4G2UKeEujV83Aakukw=s48-c-k-c0x00ffffff-no-rj,Hmmmm,Hmmmm,1,none,True,2024-11-19T21:34:35Z,2024-11-19T21:34:35Z
UCj0O6W8yDuLg3iraAXKgCrQ,3ekLEtjfDG4,@luisin_edits125-z2r1x,UC3XTeMjsjEP9kk0GLV45UiQ,http://www.youtube.com/@luisin_edits125-z2r1x,https://yt3.ggpht.com/expy54EmPlQv9AdIunG8Nxx-_jRoRcGWLjj9LN7jKumQAp_ReGktGhzv8_vFyr01ZpR2MeA3_hU=s48-c-k-c0x00ffffff-no-rj,Essa nova câmera é dahora!,Essa nova câmera é dahora!,32,none,True,2024-11-19T21:24:45Z,2024-11-19T21:24:45Z
UCj0O6W8yDuLg3iraAXKgCrQ,3ekLEtjfDG4,@Geovanzin244,UC3GHbR_ojOhPIEheUYFDbPw,http://www.youtube.com/@Geovanzin244,https://yt3.ggpht.com/FoJNtqeEfadQNoVz3oZq1Qgs02h0xdJj-36qqy8GFW695Hk3Yq_MTU-gwxJJ428MEnZyNsYg-t8=s48-c-k-c0x00ffffff-no-rj,IAE gurizada tudo bem?,IAE gurizada tudo bem?,0,none,True,2024-11-19T21:18:46Z,2024-11-19T21:18:46Z
UCj0O6W8yDuLg3iraAXKgCrQ,3ekLEtjfDG4,@biancacristina5564,UChuyZ_4Wuq89QytmeG6C8KQ,http://www.youtube.com/@biancacristina5564,https://yt3.ggpht.com/eeYAJGrndb5xBlxmotFny8hyoXWHaJg_B75gQrUgbYKuzvalWpa2kmpgMfarOGC9n3AimvdgLw=s48-c-k-c0x00ffffff-no-rj,Kkk esse trem do dedos é tá ingual do Lula 😂,Kkk esse trem do dedos é tá ingual do Lula 😂,0,none,True,2024-11-19T21:16:06Z,2024-11-19T21:16:06Z
UCj0O6W8yDuLg3iraAXKgCrQ,3ekLEtjfDG4,@GatoMiau-i4g,UCMB8ucCru1WzaE_Qjvl_29A,http://www.youtube.com/@GatoMiau-i4g,https://yt3.ggpht.com/Jj4wzE9gGlChw5j8Xzd7s8dmVorT1Tc40OBKhvksvdC_F6U4rxwye9bZaF1XxFeGoe9WIoJq=s48-c-k-c0x00ffffff-no-rj,Alguém apoia pra eles trazerem os vídeos de Setealem?,Alguém apoia pra eles trazerem os vídeos de Setealem?,4,none,True,2024-11-19T21:12:07Z,2024-11-19T21:12:07Z
UCj0O6W8yDuLg3iraAXKgCrQ,3ekLEtjfDG4,@reis47-b6b,UCFsoP0oTbWAGEqJ7dz0-nQQ,http://www.youtube.com/@reis47-b6b,https://yt3.ggpht.com/sEN0GR_qTS7LusKV5i4jeeJtxd5QSY9UQELmoujxR-KsHZqNXyDd4_er4dqKAPflyLeQup2l=s48-c-k-c0x00ffffff-no-rj,,,1,none,True,2024-11-19T21:04:38Z,2024-11-19T21:04:38Z
UCj0O6W8yDuLg3iraAXKgCrQ,3ekLEtjfDG4,@venus7ip,UCbld-uYObSv7y6vTmEj2veQ,http://www.youtube.com/@venus7ip,https://yt3.ggpht.com/Hyo0EGEDgKjDvxBhHPpMXtglLUhH8ZDHvkLwC86Ie-3-tgo7VGHgIT1lthc2a-fV9JG9K7Tr-Q=s48-c-k-c0x00ffffff-no-rj,FINALMENTE VIDEOS NÃO REPRISADOS,FINALMENTE VIDEOS NÃO REPRISADOS,8,none,True,2024-11-19T20:59:19Z,2024-11-19T20:59:19Z
